Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",1.600000,25.600000,90.000000,top
"C2","10uF","C_0805_2012Metric",1.600000,21.600000,-90.000000,top
"C3","10uF","C_0805_2012Metric",1.800000,12.000000,-90.000000,top
"C4","100nF","C_0805_2012Metric",1.800000,15.650000,90.000000,top
"C5","10uF","C_0805_2012Metric",7.400000,27.600000,0.000000,top
"C6","100nF","C_0805_2012Metric",7.400000,29.800000,0.000000,top
"D1","LED_RED","LED_0805_2012Metric",25.400000,34.000000,90.000000,top
"D2","LED_RED","LED_0805_2012Metric",25.350000,30.000000,90.000000,top
"D3","LED_RED","LED_0805_2012Metric",25.400000,26.100000,90.000000,top
"D4","LED_RED","LED_0805_2012Metric",25.300000,22.000000,90.000000,top
"D5","LED_RED","LED_0805_2012Metric",25.300000,18.000000,90.000000,top
"D6","LED_RED","LED_0805_2012Metric",25.300000,14.000000,90.000000,top
"D7","LED_RED","LED_0805_2012Metric",25.300000,10.000000,90.000000,top
"D8","LED_RED","LED_0805_2012Metric",25.300000,6.000000,90.000000,top
"D9","LED_RED","LED_0805_2012Metric",27.600000,33.962500,-90.000000,top
"D10","LED_RED","LED_0805_2012Metric",27.600000,30.000000,-90.000000,top
"D11","LED_RED","LED_0805_2012Metric",27.600000,26.000000,-90.000000,top
"D12","LED_RED","LED_0805_2012Metric",27.500000,21.937500,-90.000000,top
"D13","LED_RED","LED_0805_2012Metric",27.500000,18.000000,-90.000000,top
"D14","LED_RED","LED_0805_2012Metric",27.500000,14.000000,-90.000000,top
"D15","LED_RED","LED_0805_2012Metric",27.500000,10.000000,-90.000000,top
"D16","LED_RED","LED_0805_2012Metric",27.500000,6.000000,-90.000000,top
"D17","LED_RED","LED_0805_2012Metric",29.800000,34.000000,90.000000,top
"D18","LED_RED","LED_0805_2012Metric",29.800000,30.000000,90.000000,top
"D19","LED_RED","LED_0805_2012Metric",29.800000,26.062500,90.000000,top
"D20","LED_RED","LED_0805_2012Metric",29.700000,21.975000,90.000000,top
"D21","LED_RED","LED_0805_2012Metric",29.700000,17.975000,90.000000,top
"D22","LED_RED","LED_0805_2012Metric",29.700000,14.037500,90.000000,top
"D23","LED_RED","LED_0805_2012Metric",29.700000,10.037500,90.000000,top
"D24","LED_RED","LED_0805_2012Metric",27.500000,2.112500,90.000000,top
"D25","LED_RED","LED_0805_2012Metric",32.000000,34.000000,-90.000000,top
"D26","LED_RED","LED_0805_2012Metric",32.000000,29.962500,-90.000000,top
"D27","LED_RED","LED_0805_2012Metric",32.000000,26.062500,-90.000000,top
"D28","LED_RED","LED_0805_2012Metric",31.900000,21.900000,-90.000000,top
"D29","LED_RED","LED_0805_2012Metric",31.900000,17.962500,-90.000000,top
"D30","LED_RED","LED_0805_2012Metric",31.900000,14.012500,-90.000000,top
"D31","LED_RED","LED_0805_2012Metric",31.900000,10.012500,-90.000000,top
"D32","LED_RED","LED_0805_2012Metric",25.250000,2.100000,-90.000000,top
"D33","LED_RED","LED_0805_2012Metric",34.200000,34.062500,90.000000,top
"D34","LED_RED","LED_0805_2012Metric",34.200000,29.937500,90.000000,top
"D35","LED_RED","LED_0805_2012Metric",34.200000,26.037500,90.000000,top
"D36","LED_RED","LED_0805_2012Metric",34.100000,21.875000,90.000000,top
"D37","LED_RED","LED_0805_2012Metric",34.100000,18.037500,90.000000,top
"D38","LED_RED","LED_0805_2012Metric",34.100000,14.037500,90.000000,top
"D39","LED_RED","LED_0805_2012Metric",29.700000,6.037500,90.000000,top
"D40","LED_RED","LED_0805_2012Metric",31.900000,2.062500,90.000000,top
"D41","LED_RED","LED_0805_2012Metric",36.400000,34.025000,-90.000000,top
"D42","LED_RED","LED_0805_2012Metric",36.400000,29.900000,-90.000000,top
"D43","LED_RED","LED_0805_2012Metric",36.400000,26.000000,-90.000000,top
"D44","LED_RED","LED_0805_2012Metric",36.300000,21.800000,-90.000000,top
"D45","LED_RED","LED_0805_2012Metric",36.300000,18.000000,-90.000000,top
"D46","LED_RED","LED_0805_2012Metric",36.300000,14.050000,-90.000000,top
"D47","LED_RED","LED_0805_2012Metric",31.950000,6.012500,-90.000000,top
"D48","LED_RED","LED_0805_2012Metric",29.650000,2.075000,-90.000000,top
"D49","LED_RED","LED_0805_2012Metric",38.600000,34.000000,90.000000,top
"D50","LED_RED","LED_0805_2012Metric",38.600000,29.937500,90.000000,top
"D51","LED_RED","LED_0805_2012Metric",38.600000,26.000000,90.000000,top
"D52","LED_RED","LED_0805_2012Metric",38.500000,21.875000,90.000000,top
"D53","LED_RED","LED_0805_2012Metric",38.500000,18.100000,90.000000,top
"D54","LED_RED","LED_0805_2012Metric",34.100000,10.037500,90.000000,top
"D55","LED_RED","LED_0805_2012Metric",34.150000,6.037500,90.000000,top
"D56","LED_RED","LED_0805_2012Metric",36.300000,2.062500,90.000000,top
"D57","LED_RED","LED_0805_2012Metric",40.800000,33.962500,-90.000000,top
"D58","LED_RED","LED_0805_2012Metric",40.800000,29.862500,-90.000000,top
"D59","LED_RED","LED_0805_2012Metric",40.800000,25.962500,-90.000000,top
"D60","LED_RED","LED_0805_2012Metric",40.700000,21.800000,-90.000000,top
"D61","LED_RED","LED_0805_2012Metric",40.700000,18.062500,-90.000000,top
"D62","LED_RED","LED_0805_2012Metric",36.350000,10.062500,-90.000000,top
"D63","LED_RED","LED_0805_2012Metric",36.350000,6.012500,-90.000000,top
"D64","LED_RED","LED_0805_2012Metric",34.100000,2.000000,-90.000000,top
"D65","LED_RED","LED_0805_2012Metric",43.000000,33.925000,90.000000,top
"D66","LED_RED","LED_0805_2012Metric",43.000000,29.837500,90.000000,top
"D67","LED_RED","LED_0805_2012Metric",43.000000,25.937500,90.000000,top
"D68","LED_RED","LED_0805_2012Metric",42.900000,21.775000,90.000000,top
"D69","LED_RED","LED_0805_2012Metric",38.500000,14.050000,90.000000,top
"D70","LED_RED","LED_0805_2012Metric",38.550000,10.087500,90.000000,top
"D71","LED_RED","LED_0805_2012Metric",38.550000,6.062500,90.000000,top
"D72","LED_RED","LED_0805_2012Metric",40.700000,2.062500,90.000000,top
"D73","LED_RED","LED_0805_2012Metric",45.200000,33.925000,-90.000000,top
"D74","LED_RED","LED_0805_2012Metric",45.200000,29.862500,-90.000000,top
"D75","LED_RED","LED_0805_2012Metric",45.200000,25.962500,-90.000000,top
"D76","LED_RED","LED_0805_2012Metric",45.100000,21.800000,-90.000000,top
"D77","LED_RED","LED_0805_2012Metric",40.700000,14.000000,-90.000000,top
"D78","LED_RED","LED_0805_2012Metric",40.750000,10.062500,-90.000000,top
"D79","LED_RED","LED_0805_2012Metric",40.750000,6.037500,-90.000000,top
"D80","LED_RED","LED_0805_2012Metric",38.500000,2.062500,-90.000000,top
"D81","LED_RED","LED_0805_2012Metric",47.400000,33.925000,90.000000,top
"D82","LED_RED","LED_0805_2012Metric",47.400000,29.837500,90.000000,top
"D83","LED_RED","LED_0805_2012Metric",47.400000,26.000000,90.000000,top
"D84","LED_RED","LED_0805_2012Metric",42.900000,18.037500,90.000000,top
"D85","LED_RED","LED_0805_2012Metric",42.900000,14.037500,90.000000,top
"D86","LED_RED","LED_0805_2012Metric",42.900000,10.087500,90.000000,top
"D87","LED_RED","LED_0805_2012Metric",42.900000,6.062500,90.000000,top
"D88","LED_RED","LED_0805_2012Metric",45.100000,2.062500,90.000000,top
"D89","LED_RED","LED_0805_2012Metric",49.600000,33.925000,-90.000000,top
"D90","LED_RED","LED_0805_2012Metric",49.600000,29.800000,-90.000000,top
"D91","LED_RED","LED_0805_2012Metric",49.600000,25.962500,-90.000000,top
"D92","LED_RED","LED_0805_2012Metric",45.100000,17.962500,-90.000000,top
"D93","LED_RED","LED_0805_2012Metric",45.150000,14.037500,-90.000000,top
"D94","LED_RED","LED_0805_2012Metric",45.100000,10.062500,-90.000000,top
"D95","LED_RED","LED_0805_2012Metric",45.100000,6.062500,-90.000000,top
"D96","LED_RED","LED_0805_2012Metric",42.900000,2.000000,-90.000000,top
"D97","LED_RED","LED_0805_2012Metric",51.800000,34.000000,90.000000,top
"D98","LED_RED","LED_0805_2012Metric",51.800000,29.800000,90.000000,top
"D99","LED_RED","LED_0805_2012Metric",47.300000,21.775000,90.000000,top
"D100","LED_RED","LED_0805_2012Metric",47.300000,18.037500,90.000000,top
"D101","LED_RED","LED_0805_2012Metric",47.350000,14.037500,90.000000,top
"D102","LED_RED","LED_0805_2012Metric",47.350000,10.087500,90.000000,top
"D103","LED_RED","LED_0805_2012Metric",47.350000,6.100000,90.000000,top
"D104","LED_RED","LED_0805_2012Metric",49.500000,2.062500,90.000000,top
"D105","LED_RED","LED_0805_2012Metric",54.000000,33.925000,-90.000000,top
"D106","LED_RED","LED_0805_2012Metric",54.000000,29.800000,-90.000000,top
"D107","LED_RED","LED_0805_2012Metric",49.500000,21.800000,-90.000000,top
"D108","LED_RED","LED_0805_2012Metric",49.500000,17.962500,-90.000000,top
"D109","LED_RED","LED_0805_2012Metric",49.550000,14.012500,-90.000000,top
"D110","LED_RED","LED_0805_2012Metric",49.550000,10.062500,-90.000000,top
"D111","LED_RED","LED_0805_2012Metric",49.550000,6.050000,-90.000000,top
"D112","LED_RED","LED_0805_2012Metric",47.300000,2.062500,-90.000000,top
"D113","LED_RED","LED_0805_2012Metric",56.200000,33.900000,90.000000,top
"D114","LED_RED","LED_0805_2012Metric",51.800000,26.037500,90.000000,top
"D115","LED_RED","LED_0805_2012Metric",51.700000,21.837500,90.000000,top
"D116","LED_RED","LED_0805_2012Metric",51.700000,18.037500,90.000000,top
"D117","LED_RED","LED_0805_2012Metric",51.700000,14.037500,90.000000,top
"D118","LED_RED","LED_0805_2012Metric",51.700000,10.100000,90.000000,top
"D119","LED_RED","LED_0805_2012Metric",51.700000,6.087500,90.000000,top
"D120","LED_RED","LED_0805_2012Metric",53.900000,2.062500,90.000000,top
"D121","LED_RED","LED_0805_2012Metric",58.400000,33.925000,-90.000000,top
"D122","LED_RED","LED_0805_2012Metric",54.000000,26.000000,-90.000000,top
"D123","LED_RED","LED_0805_2012Metric",53.900000,21.800000,-90.000000,top
"D124","LED_RED","LED_0805_2012Metric",53.900000,17.962500,-90.000000,top
"D125","LED_RED","LED_0805_2012Metric",53.900000,14.012500,-90.000000,top
"D126","LED_RED","LED_0805_2012Metric",53.900000,10.062500,-90.000000,top
"D127","LED_RED","LED_0805_2012Metric",53.900000,6.062500,-90.000000,top
"D128","LED_RED","LED_0805_2012Metric",51.700000,2.000000,-90.000000,top
"D129","LED_RED","LED_0805_2012Metric",56.200000,29.837500,90.000000,top
"D130","LED_RED","LED_0805_2012Metric",56.200000,26.000000,90.000000,top
"D131","LED_RED","LED_0805_2012Metric",56.100000,21.837500,90.000000,top
"D132","LED_RED","LED_0805_2012Metric",56.100000,18.037500,90.000000,top
"D133","LED_RED","LED_0805_2012Metric",56.100000,14.037500,90.000000,top
"D134","LED_RED","LED_0805_2012Metric",56.100000,10.087500,90.000000,top
"D135","LED_RED","LED_0805_2012Metric",56.100000,6.050000,90.000000,top
"D136","LED_RED","LED_0805_2012Metric",58.200000,2.000000,90.000000,top
"D137","LED_RED","LED_0805_2012Metric",58.400000,29.762500,-90.000000,top
"D138","LED_RED","LED_0805_2012Metric",58.400000,25.937500,-90.000000,top
"D139","LED_RED","LED_0805_2012Metric",58.300000,21.800000,-90.000000,top
"D140","LED_RED","LED_0805_2012Metric",58.300000,18.062500,-90.000000,top
"D141","LED_RED","LED_0805_2012Metric",58.300000,14.000000,-90.000000,top
"D142","LED_RED","LED_0805_2012Metric",58.300000,10.062500,-90.000000,top
"D143","LED_RED","LED_0805_2012Metric",58.350000,6.037500,-90.000000,top
"D144","LED_RED","LED_0805_2012Metric",56.100000,2.000000,-90.000000,top
"FID1","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",60.200000,0.800000,0.000000,top
"R1","1k","R_0805_2012Metric",19.600000,29.000000,180.000000,top
"R2","1k","R_0805_2012Metric",19.800000,32.400000,180.000000,top
"R3","1k","R_0805_2012Metric",19.600000,17.000000,180.000000,top
"R4","1k","R_0805_2012Metric",19.600000,25.200000,180.000000,top
"R5","1k","R_0805_2012Metric",19.887500,1.600000,180.000000,top
"R6","1k","R_0805_2012Metric",19.800000,8.800000,180.000000,top
"R7","1k","R_0805_2012Metric",19.687500,13.000000,0.000000,top
"R8","1k","R_0805_2012Metric",19.600000,21.000000,0.000000,top
"R9","1k","R_0805_2012Metric",19.800000,5.000000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",22.200000,35.600000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",12.200000,24.400000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",60.200000,35.800000,0.000000,top
"U1","ATtiny806-S","SOIC-20W_7.5x12.8mm_P1.27mm",9.000000,7.200000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",6.200000,22.000000,-90.000000,top
