Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",18.800000,6.400000,-90.000000,top
"C2","22pF","C_0805_2012Metric",7.600000,18.600000,-90.000000,top
"C3","22pF","C_0805_2012Metric",13.700000,16.000000,90.000000,top
"C4","10µF","C_0805_2012Metric",15.900000,18.000000,-90.000000,top
"C5","100nF","C_0805_2012Metric",16.500000,15.200000,180.000000,top
"C6","10µF","C_0805_2012Metric",6.700000,39.600000,-90.000000,top
"C7","100nF","C_0805_2012Metric",4.500000,39.600000,-90.000000,top
"C8","100nF","C_0805_2012Metric",17.900000,36.400000,-90.000000,top
"C9","10µF","C_0805_2012Metric",20.000000,36.300000,-90.000000,top
"D1","LED","LED_0805_2012Metric",17.900000,39.900000,-90.000000,top
"D2","LED","LED_0805_2012Metric",16.500000,11.800000,0.000000,top
"R1","10k","R_0805_2012Metric",7.600000,14.712500,90.000000,top
"R2","1k","R_0805_2012Metric",20.700000,40.600000,0.000000,top
"R3","1k","R_0805_2012Metric",13.700000,12.400000,-90.000000,top
"REF**","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",20.500000,1.500000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",4.700000,34.600000,0.000000,top
"REF**","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",5.200000,1.500000,0.000000,top
"SW1","RST_BTN","SW_SPST_CK_RS282G05A3",12.400000,8.600000,180.000000,top
"U1","STM8S103K3T6C","STM8S103K3T6C-QFN32",13.300000,25.800000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",12.300000,38.000000,180.000000,top
"Y1","16MHz","Crystal_SMD_Abracon_ABM3-2Pin_5.0x3.2mm_HandSoldering",10.700000,15.600000,-90.000000,top
