Name,X,Y,Angle,Value,Package
C1,18.17,6.45,270.00,100nF,C0805
C10,16.16,13.85,180.00,100nF,C0805
C2,6.94,16.16,270.00,22p,C0805
C3,13.13,16.04,90.00,22p,C0805
C9,15.20,17.01,270.00,10µF,C0805
FD1,5.26,1.56,0.00,FID_20MIL_P,FID_020_P
FD2,23.19,1.55,0.00,FID_20MIL_P,FID_020_P
FD3,6.18,40.90,0.00,FID_20MIL_P,FID_020_P
LED1,16.15,11.96,90.00,,CHIP-LED0805
LED2,20.43,40.83,180.00,,CHIP-LED0805
R1,6.95,12.11,270.00,10k,R0805
R2,18.37,40.52,90.00,1k,R0805
R3,13.09,12.01,90.00,1k,R0805
SW1,11.59,7.56,0.00,RS-032G05A3-SMRT,SW_RS-032G05A3-SMRT
U1,12.87,25.07,90.00,STM8S103K3T6C,QFP80P900X900X160-32N
Y1,9.96,16.02,270.00,16MHz,XTAL500X320X130N
