C11, 31.24, 15.24, 90.00, 1µF, C0805
C5, 41.91, 19.69, 0.00, 4.7nF, C0805
IC1, 27.94, 10.79, 180.00, CP2102, MLP28
J3, 41.82, 11.43, 90.00, USB4110-GF-A_REVB, GCT_USB4110-GF-A_REVB
LED1, 31.12, 6.99, 180.00, red-led, CHIP-LED0603
LED2, 21.97, 12.57, 180.00, green-led, CHIP-LED0603
LED3, 24.00, 12.57, 180.00, green-led, CHIP-LED0603
Q1, 12.57, 12.45, 180.00, MMBT4401, SOT23
Q2, 12.57, 4.45, 0.00, MMBT4401, SOT23
R10, 35.05, 3.81, 270.00, 10k, R0805
R11, 32.00, 3.94, 0.00, 1k, R0805
R12, 21.84, 9.40, 90.00, 1k, R0805
R13, 24.00, 9.40, 90.00, 1k, R0805
R14, 26.92, 16.89, 0.00, 10k, R0805
R15, 19.05, 9.40, 90.00, 1k, R0805
R16, 12.95, 9.02, 180.00, 1k, R0805
R3, 27.86, 14.78, 180.00, 4.7k, R0805
R4, 37.47, 19.69, 0.00, 1M, R0805
R5, 16.26, 12.45, 270.00, 10k, R0805
R6, 16.38, 4.57, 90.00, 10k, R0805
R7, 40.01, 2.54, 270.00, 10k, R0805
R8, 43.82, 2.54, 270.00, 10k, R0805
R9, 37.47, 3.81, 270.00, 10k, R0805
