Ref,Val,Package,PosX,PosY,Rot,Side
"C9","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-15.220600,3.999322,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-14.128400,7.529922,90.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-22.002400,16.089722,0.000000,bottom
"C15","22µF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",-17.176400,16.089722,180.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-76.206000,67.321522,180.000000,bottom
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-57.410000,71.893522,180.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-38.614000,67.321522,180.000000,bottom
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-19.310000,72.147522,180.000000,bottom
"D3","D18V","D_MiniMELF",-71.811800,69.099522,-90.000000,bottom
"D4","D18V","D_MiniMELF",-52.482400,73.925522,-90.000000,bottom
"D5","S310","D_SMA",-76.815600,96.531522,180.000000,bottom
"D6","S310","D_SMA",-57.689400,96.023522,180.000000,bottom
"D7","D18V","D_MiniMELF",-33.991200,68.997922,-90.000000,bottom
"D8","S310","D_SMA",-39.122000,95.769522,180.000000,bottom
"D9","D18V","D_MiniMELF",-14.661800,74.179522,-90.000000,bottom
"D10","S310","D_SMA",-20.834000,95.515522,180.000000,bottom
"Q1","MMBT2222A","TO-236AB_SOT-23",-82.302000,57.107522,180.000000,bottom
"Q2","MMBT2222A","TO-236AB_SOT-23",-63.506000,61.479522,180.000000,bottom
"Q3","MMBT2222A","TO-236AB_SOT-23",-76.206000,59.447522,180.000000,bottom
"Q4","MMBT2222A","TO-236AB_SOT-23",-57.664000,64.019522,180.000000,bottom
"Q5","MMBT4403L","TO-236AB_SOT-23",-81.032000,70.369522,-90.000000,bottom
"Q6","MMBT2222A","TO-236AB_SOT-23",-76.206000,70.369522,-90.000000,bottom
"Q7","MMBT4403L","TO-236AB_SOT-23",-62.236000,75.195522,-90.000000,bottom
"Q8","MMBT2222A","TO-236AB_SOT-23",-57.410000,75.195522,-90.000000,bottom
"Q11","MMBT2222A","TO-236AB_SOT-23",-44.710000,56.853522,180.000000,bottom
"Q12","MMBT2222A","TO-236AB_SOT-23",-24.644000,61.933522,180.000000,bottom
"Q13","MMBT2222A","TO-236AB_SOT-23",-38.868000,59.447522,180.000000,bottom
"Q14","MMBT2222A","TO-236AB_SOT-23",-18.802000,64.273522,180.000000,bottom
"Q15","MMBT4403L","TO-236AB_SOT-23",-43.948000,70.369522,-90.000000,bottom
"Q16","MMBT2222A","TO-236AB_SOT-23",-38.614000,70.369522,-90.000000,bottom
"Q17","MMBT4403L","TO-236AB_SOT-23",-23.882000,75.449522,-90.000000,bottom
"Q18","MMBT2222A","TO-236AB_SOT-23",-19.310000,75.449522,-90.000000,bottom
"R7","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-83.064000,52.081522,-90.000000,bottom
"R8","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-64.014000,55.891522,-90.000000,bottom
"R9","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-78.238000,54.113522,90.000000,bottom
"R10","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-59.442000,57.653522,90.000000,bottom
"R11","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-82.048000,60.717522,0.000000,bottom
"R13","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-63.252000,65.035522,0.000000,bottom
"R14","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-78.746000,59.701522,-90.000000,bottom
"R15","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-60.204000,64.019522,-90.000000,bottom
"R16","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-72.904000,59.701522,90.000000,bottom
"R17","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.362000,64.019522,90.000000,bottom
"R22","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-45.472000,52.335522,-90.000000,bottom
"R23","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-41.154000,54.367522,90.000000,bottom
"R26","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-25.406000,56.145522,-90.000000,bottom
"R27","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.342000,58.177522,90.000000,bottom
"R28","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-44.456000,60.463522,0.000000,bottom
"R29","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-41.408000,59.193522,-90.000000,bottom
"R30","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-24.644000,65.289522,0.000000,bottom
"R31","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.342000,64.273522,-90.000000,bottom
"R32","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-35.566000,59.193522,90.000000,bottom
"R33","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-15.246000,64.273522,-90.000000,bottom
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-18.776600,9.739722,90.000000,bottom
