Ref,Val,Package,PosX,PosY,Rot,Side
"A1","ESP32-WROVER-I","XCVR_ESP32-WROVER-I",9.404000,30.237522,90.000000,top
"C1","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.643400,28.103922,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.985600,34.555522,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.643400,30.212122,0.000000,top
"C5","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.821200,10.806522,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.366600,15.988122,-90.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.821200,8.774522,0.000000,top
"C11","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.856000,49.287522,90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.867000,49.719322,90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.882200,49.592322,90.000000,top
"C17","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.692800,5.345522,0.000000,top
"C18","22µF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",1.784000,17.029522,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",5.746400,15.378522,0.000000,top
"C20","1µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.864000,18.299522,90.000000,top
"D1","LED_Green","LED_0805_2012Metric_Castellated",27.819000,27.494322,180.000000,top
"D2","LED_Green","LED_0805_2012Metric_Castellated",27.742800,32.015522,180.000000,top
"D11","LED_BLUE","LED_0805_2012Metric_Castellated",75.444000,88.203022,90.000000,top
"D12","LED_BLUE","LED_0805_2012Metric_Castellated",56.140000,87.895522,90.000000,top
"D13","LED_BLUE","LED_0805_2012Metric_Castellated",38.106000,88.149522,90.000000,top
"D14","LED_BLUE","LED_0805_2012Metric_Castellated",19.310000,87.641522,90.000000,top
"J6","PROG_connector","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",3.308000,9.409522,-90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.541800,36.028722,180.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.639200,42.175522,-90.000000,top
"R3","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.917800,26.554522,-90.000000,top
"R4","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.867000,33.006122,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",4.832000,18.299522,90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.659000,42.286522,-90.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.335600,28.027722,0.000000,top
"R24","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.694200,17.004122,180.000000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.462600,8.749122,0.000000,top
"R38","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.158000,88.149522,90.000000,top
"R39","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.108000,87.895522,90.000000,top
"R40","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.074000,88.149522,90.000000,top
"R41","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.278000,87.641522,90.000000,top
"SW1","SW_REST-REST_CONF","SW_SPST_Omron_B3FS-100xP",5.340000,43.699522,180.000000,top
