Ref,Val,Package,PosX,PosY,Rot,Side
"C9","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-15.200600,3.989322,180.000000,bottom
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-14.108400,7.519922,90.000000,bottom
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-21.982400,16.079722,0.000000,bottom
"C15","22µF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",-17.156400,16.079722,180.000000,bottom
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-76.186000,67.311522,180.000000,bottom
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-57.390000,71.883522,180.000000,bottom
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-38.594000,67.311522,180.000000,bottom
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-19.290000,72.137522,180.000000,bottom
"D3","D18V","D_MiniMELF",-71.791800,69.089522,-90.000000,bottom
"D4","D18V","D_MiniMELF",-52.462400,73.915522,-90.000000,bottom
"D5","S310","D_SMA",-76.795600,96.521522,180.000000,bottom
"D6","S310","D_SMA",-57.669400,96.013522,180.000000,bottom
"D7","D18V","D_MiniMELF",-33.971200,68.987922,-90.000000,bottom
"D8","S310","D_SMA",-39.102000,95.759522,180.000000,bottom
"D9","D18V","D_MiniMELF",-14.641800,74.169522,-90.000000,bottom
"D10","S310","D_SMA",-20.814000,95.505522,180.000000,bottom
"Q1","MMBT2222A","TO-236AB_SOT-23",-82.282000,57.097522,180.000000,bottom
"Q2","MMBT2222A","TO-236AB_SOT-23",-63.486000,61.469522,180.000000,bottom
"Q3","MMBT2222A","TO-236AB_SOT-23",-76.186000,59.437522,180.000000,bottom
"Q4","MMBT2222A","TO-236AB_SOT-23",-57.644000,64.009522,180.000000,bottom
"Q5","MMBT4403L","TO-236AB_SOT-23",-81.012000,70.359522,-90.000000,bottom
"Q6","MMBT2222A","TO-236AB_SOT-23",-76.186000,70.359522,-90.000000,bottom
"Q7","MMBT4403L","TO-236AB_SOT-23",-62.216000,75.185522,-90.000000,bottom
"Q8","MMBT2222A","TO-236AB_SOT-23",-57.390000,75.185522,-90.000000,bottom
"Q11","MMBT2222A","TO-236AB_SOT-23",-44.690000,56.843522,180.000000,bottom
"Q12","MMBT2222A","TO-236AB_SOT-23",-24.624000,61.923522,180.000000,bottom
"Q13","MMBT2222A","TO-236AB_SOT-23",-38.848000,59.437522,180.000000,bottom
"Q14","MMBT2222A","TO-236AB_SOT-23",-18.782000,64.263522,180.000000,bottom
"Q15","MMBT4403L","TO-236AB_SOT-23",-43.928000,70.359522,-90.000000,bottom
"Q16","MMBT2222A","TO-236AB_SOT-23",-38.594000,70.359522,-90.000000,bottom
"Q17","MMBT4403L","TO-236AB_SOT-23",-23.862000,75.439522,-90.000000,bottom
"Q18","MMBT2222A","TO-236AB_SOT-23",-19.290000,75.439522,-90.000000,bottom
"R7","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-83.044000,52.071522,-90.000000,bottom
"R8","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-63.994000,55.881522,-90.000000,bottom
"R9","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-78.218000,54.103522,90.000000,bottom
"R10","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-59.422000,57.643522,90.000000,bottom
"R11","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-82.028000,60.707522,0.000000,bottom
"R13","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-63.232000,65.025522,0.000000,bottom
"R14","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-78.726000,59.691522,-90.000000,bottom
"R15","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-60.184000,64.009522,-90.000000,bottom
"R16","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-72.884000,59.691522,90.000000,bottom
"R17","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-54.342000,64.009522,90.000000,bottom
"R22","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-45.452000,52.325522,-90.000000,bottom
"R23","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-41.134000,54.357522,90.000000,bottom
"R26","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-25.386000,56.135522,-90.000000,bottom
"R27","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.322000,58.167522,90.000000,bottom
"R28","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-44.436000,60.453522,0.000000,bottom
"R29","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-41.388000,59.183522,-90.000000,bottom
"R30","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-24.624000,65.279522,0.000000,bottom
"R31","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-21.322000,64.263522,-90.000000,bottom
"R32","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-35.546000,59.183522,90.000000,bottom
"R33","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-15.226000,64.263522,-90.000000,bottom
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-18.756600,9.729722,90.000000,bottom
