Ref,Val,Package,PosX,PosY,Rot,Side
"A1","ESP32-WROVER-I","XCVR_ESP32-WROVER-I",9.384000,30.227522,90.000000,top
"C1","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.623400,28.093922,0.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",39.965600,34.545522,-90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.623400,30.202122,0.000000,top
"C5","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.801200,10.796522,0.000000,top
"C6","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",40.346600,15.978122,-90.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",70.801200,8.764522,0.000000,top
"C11","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.836000,49.277522,90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",30.847000,49.709322,90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",50.862200,49.582322,90.000000,top
"C17","10µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",8.672800,5.335522,0.000000,top
"C18","22µF","CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder",1.764000,17.019522,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",5.726400,15.368522,0.000000,top
"C20","1µF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",6.844000,18.289522,90.000000,top
"D1","LED_Green","LED_0805_2012Metric_Castellated",27.799000,27.484322,180.000000,top
"D2","LED_Green","LED_0805_2012Metric_Castellated",27.722800,32.005522,180.000000,top
"D11","LED_BLUE","LED_0805_2012Metric_Castellated",75.424000,88.193022,90.000000,top
"D12","LED_BLUE","LED_0805_2012Metric_Castellated",56.120000,87.885522,90.000000,top
"D13","LED_BLUE","LED_0805_2012Metric_Castellated",38.086000,88.139522,90.000000,top
"D14","LED_BLUE","LED_0805_2012Metric_Castellated",19.290000,87.631522,90.000000,top
"J6","PROG_connector","JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal",3.288000,9.399522,-90.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.521800,36.018722,180.000000,top
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.619200,42.165522,-90.000000,top
"R3","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.897800,26.544522,-90.000000,top
"R4","4.7k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",30.847000,32.996122,90.000000,top
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",4.812000,18.289522,90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.639000,42.276522,-90.000000,top
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.315600,28.017722,0.000000,top
"R24","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",70.674200,16.994122,180.000000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",46.442600,8.739122,0.000000,top
"R38","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",73.138000,88.139522,90.000000,top
"R39","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.088000,87.885522,90.000000,top
"R40","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",36.054000,88.139522,90.000000,top
"R41","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",17.258000,87.631522,90.000000,top
"SW1","SW_REST-REST_CONF","SW_SPST_Omron_B3FS-100xP",5.320000,43.689522,180.000000,top
