#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,3,0,1,411.41,119.10,90.00,0805,0805/1k,1.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
stack,12,0,1,411.06,303.85,90.00,0805,0805/10uF,1.50,100,1.50,100,No,-40,1,70,4,50,80,No,No,
stack,13,0,1,411.49,325.33,90.00,0805,0805/LED_RED,2.50,100,1.00,100,No,-40,1,70,4,50,80,No,No,
stack,96,1,1,311.85,65.46,0.00,0805,0805/100nF,1.50,100,1.00,100,No,-40,1,80,1,5,311.82,81.36,1,1,No,No,
stack,97,1,3,259.52,69.71,0.00,SOP20,ATtiny806-S,0.00,100,1.00,100,No,-40,1,80,1,1,288.28,68.98,1,1,No,No,
stack,98,1,4,282.15,74.07,0.00,SOT223-3,SOT-223/AMS1117-3.3,1.00,100,1.00,100,No,-40,1,80,1,1,271.63,69.02,1,1,No,No,
pcb,Manual,Lock,100,100,350,150,Front,10,10,0,
mark,Whole,Auto,138.939,25.0761,100.887,59.7966,90.9202,48.5604,138.772,60.0483,
markext,0,0.5,2,1,0,
markext,1,0.5,2,1,0,
markext,2,0.5,2,1,0,
markext,3,0.5,2,1,0,
test,No,
mirror_create,1,1,78.87,24.23,0,0,0,0,0,
mirror,80.25,49.78,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,96,1,C1,100nF,0805,80.46,49.80,89.99,No,
comp,12,2,C2,10uF,0805,80.29,45.66,-90.01,No,
comp,12,1,C3,10uF,0805,80.60,36.14,-90.01,No,
comp,96,2,C4,100nF,0805,80.83,40.09,89.99,No,
comp,12,1,C5,10uF,0805,86.43,52.03,-0.01,No,
comp,96,2,C6,100nF,0805,86.43,54.23,-0.01,No,
comp,13,1,D1,LED_RED,0805,104.42,58.43,89.99,No,
comp,13,2,D2,LED_RED,0805,104.37,54.43,89.99,No,
comp,13,1,D3,LED_RED,0805,104.42,50.53,89.99,No,
comp,13,2,D4,LED_RED,0805,104.32,46.43,89.99,No,
comp,13,1,D5,LED_RED,0805,104.32,42.43,89.99,No,
comp,13,2,D6,LED_RED,0805,104.32,38.44,89.99,No,
comp,13,1,D7,LED_RED,0805,104.32,34.44,89.99,No,
comp,13,2,D8,LED_RED,0805,104.32,30.44,89.99,No,
comp,13,1,D9,LED_RED,0805,106.62,58.39,-90.01,No,
comp,13,2,D10,LED_RED,0805,106.62,54.43,-90.01,No,
comp,13,1,D11,LED_RED,0805,106.62,50.43,-90.01,No,
comp,13,2,D12,LED_RED,0805,106.52,46.37,-90.01,No,
comp,13,1,D13,LED_RED,0805,106.52,42.43,-90.01,No,
comp,13,2,D14,LED_RED,0805,106.52,38.44,-90.01,No,
comp,13,1,D15,LED_RED,0805,106.52,34.44,-90.01,No,
comp,13,2,D16,LED_RED,0805,106.51,30.44,-90.01,No,
comp,13,1,D17,LED_RED,0805,108.82,58.42,89.99,No,
comp,13,2,D18,LED_RED,0805,108.82,54.43,89.99,No,
comp,13,1,D19,LED_RED,0805,108.82,50.49,89.99,No,
comp,13,2,D20,LED_RED,0805,108.72,46.41,89.99,No,
comp,13,1,D21,LED_RED,0805,108.72,42.41,89.99,No,
comp,13,2,D22,LED_RED,0805,108.72,38.47,89.99,No,
comp,13,1,D23,LED_RED,0805,108.71,34.48,89.99,No,
comp,13,2,D24,LED_RED,0805,106.51,26.55,89.99,No,
comp,13,1,D25,LED_RED,0805,111.02,58.42,-90.01,No,
comp,13,2,D26,LED_RED,0805,111.02,54.39,-90.01,No,
comp,13,1,D27,LED_RED,0805,111.02,50.49,-90.01,No,
comp,13,2,D28,LED_RED,0805,110.92,46.33,-90.01,No,
comp,13,1,D29,LED_RED,0805,110.92,42.39,-90.01,No,
comp,13,2,D30,LED_RED,0805,110.91,38.44,-90.01,No,
comp,13,1,D31,LED_RED,0805,110.91,34.45,-90.01,No,
comp,13,2,D32,LED_RED,0805,104.26,26.54,-90.01,No,
comp,13,1,D33,LED_RED,0805,113.22,58.48,89.99,No,
comp,13,2,D34,LED_RED,0805,113.22,54.37,89.99,No,
comp,13,1,D35,LED_RED,0805,113.22,50.47,89.99,No,
comp,13,2,D36,LED_RED,0805,113.11,46.30,89.99,No,
comp,13,1,D37,LED_RED,0805,113.11,42.47,89.99,No,
comp,13,2,D38,LED_RED,0805,113.11,38.47,89.99,No,
comp,13,1,D39,LED_RED,0805,108.71,30.48,89.99,No,
comp,13,2,D40,LED_RED,0805,110.91,26.50,89.99,No,
comp,13,1,D41,LED_RED,0805,115.42,58.44,-90.01,No,
comp,13,2,D42,LED_RED,0805,115.42,54.33,-90.01,No,
comp,13,1,D43,LED_RED,0805,115.41,50.43,-90.01,No,
comp,13,2,D44,LED_RED,0805,115.31,46.23,-90.01,No,
comp,13,1,D45,LED_RED,0805,115.31,42.43,-90.01,No,
comp,13,2,D46,LED_RED,0805,115.31,38.48,-90.01,No,
comp,13,1,D47,LED_RED,0805,110.96,30.45,-90.01,No,
comp,13,2,D48,LED_RED,0805,108.66,26.51,-90.01,No,
comp,13,1,D49,LED_RED,0805,117.62,58.42,89.99,No,
comp,13,2,D50,LED_RED,0805,117.61,54.36,89.99,No,
comp,13,1,D51,LED_RED,0805,117.61,50.43,89.99,No,
comp,13,2,D52,LED_RED,0805,117.51,46.30,89.99,No,
comp,13,1,D53,LED_RED,0805,117.51,42.53,89.99,No,
comp,13,2,D54,LED_RED,0805,113.11,34.48,89.99,No,
comp,13,1,D55,LED_RED,0805,113.16,30.48,89.99,No,
comp,13,2,D56,LED_RED,0805,115.31,26.50,89.99,No,
comp,13,1,D57,LED_RED,0805,119.81,58.38,-90.01,No,
comp,13,2,D58,LED_RED,0805,119.81,54.28,-90.01,No,
comp,13,1,D59,LED_RED,0805,119.81,50.39,-90.01,No,
comp,13,2,D60,LED_RED,0805,119.71,46.23,-90.01,No,
comp,13,1,D61,LED_RED,0805,119.71,42.49,-90.01,No,
comp,13,2,D62,LED_RED,0805,115.36,34.49,-90.01,No,
comp,13,1,D63,LED_RED,0805,115.36,30.45,-90.01,No,
comp,13,2,D64,LED_RED,0805,113.11,26.44,-90.01,No,
comp,13,1,D65,LED_RED,0805,122.01,58.34,89.99,No,
comp,13,2,D66,LED_RED,0805,122.01,54.26,89.99,No,
comp,13,1,D67,LED_RED,0805,122.01,50.37,89.99,No,
comp,13,2,D68,LED_RED,0805,121.91,46.20,89.99,No,
comp,13,1,D69,LED_RED,0805,117.51,38.48,89.99,No,
comp,13,2,D70,LED_RED,0805,117.56,34.52,89.99,No,
comp,13,1,D71,LED_RED,0805,117.56,30.50,89.99,No,
comp,13,2,D72,LED_RED,0805,119.71,26.50,89.99,No,
comp,13,1,D73,LED_RED,0805,124.21,58.34,-90.01,No,
comp,13,2,D74,LED_RED,0805,124.21,54.28,-90.01,No,
comp,13,1,D75,LED_RED,0805,124.21,50.38,-90.01,No,
comp,13,2,D76,LED_RED,0805,124.11,46.23,-90.01,No,
comp,13,1,D77,LED_RED,0805,119.71,38.43,-90.01,No,
comp,13,2,D78,LED_RED,0805,119.76,34.49,-90.01,No,
comp,13,1,D79,LED_RED,0805,119.76,30.48,-90.01,No,
comp,13,2,D80,LED_RED,0805,117.51,26.50,-90.01,No,
comp,13,1,D81,LED_RED,0805,126.41,58.34,89.99,No,
comp,13,2,D82,LED_RED,0805,126.41,54.26,89.99,No,
comp,13,1,D83,LED_RED,0805,126.41,50.42,89.99,No,
comp,13,2,D84,LED_RED,0805,121.91,42.47,89.99,No,
comp,13,1,D85,LED_RED,0805,121.91,38.47,89.99,No,
comp,13,2,D86,LED_RED,0805,121.91,34.52,89.99,No,
comp,13,1,D87,LED_RED,0805,121.91,30.50,89.99,No,
comp,13,2,D88,LED_RED,0805,124.10,26.50,89.99,No,
comp,13,1,D89,LED_RED,0805,128.61,58.34,-90.01,No,
comp,13,2,D90,LED_RED,0805,128.61,54.22,-90.01,No,
comp,13,1,D91,LED_RED,0805,128.61,50.38,-90.01,No,
comp,13,2,D92,LED_RED,0805,124.11,42.39,-90.01,No,
comp,13,1,D93,LED_RED,0805,124.16,38.47,-90.01,No,
comp,13,2,D94,LED_RED,0805,124.11,34.49,-90.01,No,
comp,13,1,D95,LED_RED,0805,124.11,30.49,-90.01,No,
comp,13,2,D96,LED_RED,0805,121.91,26.44,-90.01,No,
comp,13,1,D97,LED_RED,0805,130.81,58.42,89.99,No,
comp,13,2,D98,LED_RED,0805,130.81,54.22,89.99,No,
comp,13,1,D99,LED_RED,0805,126.31,46.20,89.99,No,
comp,13,2,D100,LED_RED,0805,126.31,42.47,89.99,No,
comp,13,1,D101,LED_RED,0805,126.36,38.47,89.99,No,
comp,13,2,D102,LED_RED,0805,126.36,34.52,89.99,No,
comp,13,1,D103,LED_RED,0805,126.35,30.53,89.99,No,
comp,13,2,D104,LED_RED,0805,128.50,26.50,89.99,No,
comp,13,1,D105,LED_RED,0805,133.01,58.34,-90.01,No,
comp,13,2,D106,LED_RED,0805,133.01,54.22,-90.01,No,
comp,13,1,D107,LED_RED,0805,128.51,46.23,-90.01,No,
comp,13,2,D108,LED_RED,0805,128.51,42.39,-90.01,No,
comp,13,1,D109,LED_RED,0805,128.56,38.44,-90.01,No,
comp,13,2,D110,LED_RED,0805,128.55,34.49,-90.01,No,
comp,13,1,D111,LED_RED,0805,128.55,30.48,-90.01,No,
comp,13,2,D112,LED_RED,0805,126.30,26.50,-90.01,No,
comp,13,1,D113,LED_RED,0805,135.21,58.32,89.99,No,
comp,13,2,D114,LED_RED,0805,130.81,50.46,89.99,No,
comp,13,1,D115,LED_RED,0805,130.71,46.27,89.99,No,
comp,13,2,D116,LED_RED,0805,130.71,42.47,89.99,No,
comp,13,1,D117,LED_RED,0805,130.70,38.47,89.99,No,
comp,13,2,D118,LED_RED,0805,130.48,34.32,89.99,No,
comp,13,1,D119,LED_RED,0805,130.43,30.28,89.99,No,
comp,13,2,D120,LED_RED,0805,132.66,26.29,89.99,No,
comp,13,1,D121,LED_RED,0805,136.98,58.19,-90.01,No,
comp,13,2,D122,LED_RED,0805,133.01,50.42,-90.01,No,
comp,13,1,D123,LED_RED,0805,132.91,46.22,-90.01,No,
