#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,1,411.36,92.29,90.00,,C_0805_2012Metric/10nF,0.50,0,0.00,0,No,-40,0,100,4,50,80,No,Yes,
stack,2,0,1,411.22,105.67,90.00,,R_0805_2012Metric/10k,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,Yes,
stack,3,0,1,411.36,119.04,90.00,,R_0805_2012Metric/1k,0.50,0,0.00,0,No,-40,2,100,4,50,80,No,Yes,
stack,4,0,1,411.45,132.37,90.00,,TO-236AB_SOT-23/MMBT2222A,0.50,0,0.00,0,No,-40,3,100,4,50,80,No,Yes,
stack,5,0,1,411.17,145.59,90.00,,LED_0805_2012Metric/LED,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
pcb,Manual,Lock,100,100,330,200,Back,10,10,0,
mark,Whole,Auto,130.564,67.771,130.602,30.9421,105.202,51.2789,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
test,No,
mirror_create,1,1,80.66,26.82,0,0,339.7,134.57,-0.0337282,
mirror,95.91,40.62,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C1,10nF,C_0805_2012Metric,95.93,40.62,-90.00,No,
comp,1,1,C2,10nF,C_0805_2012Metric,106.05,39.60,-90.00,No,
comp,1,1,C3,10nF,C_0805_2012Metric,118.46,42.60,-90.00,No,
comp,1,1,C4,10nF,C_0805_2012Metric,127.63,40.07,-90.00,No,
comp,1,1,D1,LED,LED_0805_2012Metric,101.07,67.05,90.00,No,
comp,1,1,D2,LED,LED_0805_2012Metric,124.68,65.85,90.00,No,
comp,1,1,Q1,MMBT2222A,TO-236AB_SOT-23,106.70,88.18,-90.00,No,
comp,1,1,Q2,MMBT2222A,TO-236AB_SOT-23,114.83,89.26,-90.00,No,
comp,1,1,Q3,MMBT2222A,TO-236AB_SOT-23,101.12,77.33,0.00,No,
comp,1,1,Q4,MMBT2222A,TO-236AB_SOT-23,104.87,77.28,0.00,No,
comp,1,1,Q5,MMBT2222A,TO-236AB_SOT-23,101.62,88.19,0.00,No,
comp,1,1,Q6,MMBT2222A,TO-236AB_SOT-23,107.41,71.44,90.00,No,
comp,1,1,Q7,MMBT2222A,TO-236AB_SOT-23,129.76,86.93,-90.00,No,
comp,1,1,Q8,MMBT2222A,TO-236AB_SOT-23,137.13,88.20,-90.00,No,
comp,1,1,Q9,MMBT2222A,TO-236AB_SOT-23,123.91,76.27,0.00,No,
comp,1,1,Q10,MMBT2222A,TO-236AB_SOT-23,127.22,74.75,90.00,No,
comp,1,1,Q11,MMBT2222A,TO-236AB_SOT-23,125.19,86.17,0.00,No,
comp,1,1,Q12,MMBT2222A,TO-236AB_SOT-23,130.27,69.40,90.00,No,
comp,1,1,R1,1k,R_0805_2012Metric,106.19,94.29,0.00,No,
comp,1,1,R2,10k,R_0805_2012Metric,116.86,86.72,90.00,No,
comp,1,1,R3,10k,R_0805_2012Metric,114.83,84.69,90.00,No,
comp,1,1,R4,10k,R_0805_2012Metric,106.07,92.00,180.00,No,
comp,1,1,R5,10k,R_0805_2012Metric,101.90,92.00,180.00,No,
comp,1,1,R6,1k,R_0805_2012Metric,111.27,88.35,-90.00,No,
comp,1,1,R7,10k,R_0805_2012Metric,105.68,85.01,-90.00,No,
comp,1,1,R8,10k,R_0805_2012Metric,111.27,84.18,90.00,No,
comp,1,1,R9,1k,R_0805_2012Metric,109.19,78.29,0.00,No,
comp,1,1,R10,10k,R_0805_2012Metric,102.89,85.01,180.00,No,
comp,1,1,R11,10k,R_0805_2012Metric,118.89,83.17,90.00,No,
comp,1,1,R12,10k,R_0805_2012Metric,108.43,75.00,90.00,No,
comp,1,1,R13,1k,R_0805_2012Metric,101.62,94.29,180.00,No,
comp,1,1,R14,1k,R_0805_2012Metric,101.83,71.19,0.00,No,
comp,1,1,R15,1k,R_0805_2012Metric,129.00,93.28,90.00,No,
comp,1,1,R16,10k,R_0805_2012Metric,137.38,85.40,0.00,No,
comp,1,1,R17,10k,R_0805_2012Metric,137.38,82.87,180.00,No,
comp,1,1,R18,10k,R_0805_2012Metric,128.24,90.23,180.00,No,
comp,1,1,R19,10k,R_0805_2012Metric,124.43,89.72,180.00,No,
comp,1,1,R20,1k,R_0805_2012Metric,133.83,87.18,-90.00,No,
comp,1,1,R21,10k,R_0805_2012Metric,128.49,83.37,-90.00,No,
comp,1,1,R22,10k,R_0805_2012Metric,133.83,83.52,90.00,No,
comp,1,1,R23,1k,R_0805_2012Metric,131.29,77.03,-90.00,No,
comp,1,1,R24,10k,R_0805_2012Metric,125.45,82.61,180.00,No,
comp,1,1,R25,10k,R_0805_2012Metric,141.19,83.13,0.00,No,
comp,1,1,R26,10k,R_0805_2012Metric,131.29,73.22,90.00,No,
comp,1,1,R27,1k,R_0805_2012Metric,126.21,93.28,90.00,No,
comp,1,1,R28,1k,R_0805_2012Metric,124.94,70.68,0.00,No,
