//Feeder 1 => no correction 
//Feeder 2 => Individually
//Feeder 3 => Jointly
//Feeder 4 => Large Component
#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,1,411.36,92.29,90.00,,C_0805_2012Metric/10nF,0.50,0,0.00,0,No,-40,0,100,4,50,80,No,Yes,
stack,2,0,1,411.22,105.67,90.00,,R_0805_2012Metric/10k,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,Yes,
stack,3,0,1,411.36,119.04,90.00,,R_0805_2012Metric/1k,0.50,0,0.00,0,No,-40,2,100,4,50,80,No,Yes,
stack,4,0,1,411.45,132.37,90.00,,TO-236AB_SOT-23/MMBT2222A,0.50,0,0.00,0,No,-40,3,100,4,50,80,No,Yes,
stack,5,0,1,411.17,145.59,90.00,,LED_0805_2012Metric/LED,0.50,0,0.00,0,No,-40,1,100,4,50,80,No,No,
pcb,Manual,Lock,100,100,330,200,Back,10,10,0,
mark,Whole,Auto,122.585,83.7839,148.075,63.5647,147.647,100.33,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
test,No,
mirror_create,1,1,98.67,59.33,0,0,339.7,134.57,0.742318,
mirror,113.38,73.08,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,1,1,C1,10nF,C_0805_2012Metric,113.38,73.08,-90.00,No,
comp,1,1,C2,10nF,C_0805_2012Metric,118.92,86.60,-90.00,No,
comp,1,1,C3,10nF,C_0805_2012Metric,131.32,83.57,-90.00,No,
comp,1,1,C4,10nF,C_0805_2012Metric,140.46,86.11,-90.00,No,
comp,1,1,D1,LED,LED_0805_2012Metric,101.09,66.98,90.00,No,
comp,1,1,D2,LED,LED_0805_2012Metric,124.71,65.79,90.00,No,
comp,1,1,Q1,MMBT2222A,TO-236AB_SOT-23,106.73,88.12,-90.00,No,
comp,1,1,Q2,MMBT2222A,TO-236AB_SOT-23,114.86,89.20,-90.00,No,
comp,1,1,Q3,MMBT2222A,TO-236AB_SOT-23,101.14,77.27,0.00,No,
comp,1,1,Q4,MMBT2222A,TO-236AB_SOT-23,104.90,77.22,0.00,No,
comp,1,1,Q5,MMBT2222A,TO-236AB_SOT-23,101.65,88.12,0.00,No,
comp,1,1,Q6,MMBT2222A,TO-236AB_SOT-23,107.44,71.37,90.00,No,
comp,1,1,Q7,MMBT2222A,TO-236AB_SOT-23,129.79,86.87,-90.00,No,
comp,1,1,Q8,MMBT2222A,TO-236AB_SOT-23,137.16,88.14,-90.00,No,
comp,1,1,Q9,MMBT2222A,TO-236AB_SOT-23,123.95,76.20,0.00,No,
comp,1,1,Q10,MMBT2222A,TO-236AB_SOT-23,127.25,74.68,90.00,No,
comp,1,1,Q11,MMBT2222A,TO-236AB_SOT-23,125.22,86.11,0.00,No,
comp,1,1,Q12,MMBT2222A,TO-236AB_SOT-23,130.30,69.34,90.00,No,
comp,1,1,R1,1k,R_0805_2012Metric,106.22,94.22,0.00,No,
comp,1,1,R2,10k,R_0805_2012Metric,116.89,86.66,90.00,No,
comp,1,1,R3,10k,R_0805_2012Metric,114.86,84.63,90.00,No,
comp,1,1,R4,10k,R_0805_2012Metric,106.10,91.93,180.00,No,
comp,1,1,R5,10k,R_0805_2012Metric,101.93,91.93,180.00,No,
comp,1,1,R6,1k,R_0805_2012Metric,111.30,88.29,-90.00,No,
comp,1,1,R7,10k,R_0805_2012Metric,105.71,84.95,-90.00,No,
comp,1,1,R8,10k,R_0805_2012Metric,111.30,84.12,90.00,No,
comp,1,1,R9,1k,R_0805_2012Metric,109.22,78.23,0.00,No,
comp,1,1,R10,10k,R_0805_2012Metric,102.92,84.95,180.00,No,
comp,1,1,R11,10k,R_0805_2012Metric,118.92,83.11,90.00,No,
comp,1,1,R12,10k,R_0805_2012Metric,108.46,74.93,90.00,No,
comp,1,1,R13,1k,R_0805_2012Metric,101.65,94.22,180.00,No,
comp,1,1,R14,1k,R_0805_2012Metric,101.85,71.12,0.00,No,
comp,1,1,R15,1k,R_0805_2012Metric,129.03,93.22,90.00,No,
comp,1,1,R16,10k,R_0805_2012Metric,137.41,85.34,0.00,No,
comp,1,1,R17,10k,R_0805_2012Metric,137.41,82.80,180.00,No,
comp,1,1,R18,10k,R_0805_2012Metric,128.27,90.17,180.00,No,
comp,1,1,R19,10k,R_0805_2012Metric,124.46,89.66,180.00,No,
comp,1,1,R20,1k,R_0805_2012Metric,133.86,87.12,-90.00,No,
comp,1,1,R21,10k,R_0805_2012Metric,128.52,83.31,-90.00,No,
comp,1,1,R22,10k,R_0805_2012Metric,133.86,83.46,90.00,No,
comp,1,1,R23,1k,R_0805_2012Metric,131.32,76.96,-90.00,No,
comp,1,1,R24,10k,R_0805_2012Metric,125.48,82.55,180.00,No,
comp,1,1,R25,10k,R_0805_2012Metric,141.22,83.06,0.00,No,
comp,1,1,R26,10k,R_0805_2012Metric,131.32,73.15,90.00,No,
comp,1,1,R27,1k,R_0805_2012Metric,126.24,93.22,90.00,No,
comp,1,1,R28,1k,R_0805_2012Metric,124.97,70.61,0.00,No,
